ticket_id,Summary,service,entity,team,Work type,work_type_pred,impact_pred,urgency_pred,priority_pred,priority_score,confidence,severity_offset,age_factor,difficulty_factor,combined_offset,age_days,is_resolved,resolution_days,service_is_critical,service_unresolvable,ev_work_type,ev_scope,ev_outage_extent,ev_workaround,ev_regulatory_or_security,ev_deadline_pressure,Priority_original_random,Urgency_original_random,Impact_original_random
T00000,New license requested for Tax Reporting,Tax Reporting,Nordics,Tax & Reporting,Service Request,Service Request,lowest,lowest,lowest,0.004,1.0,0.0,0.0,,0.0,0.0,True,12.677083333333334,False,False,Service Request,individual,none,not_applicable,False,none,low,low,low
T00001,New license requested for Outlook & Email,Outlook & Email,Switzerland,Enterprise Applications,Service Request,Service Request,lowest,lowest,lowest,0.004,1.0,0.0,0.0,,0.0,0.0,True,2.2444444444444445,False,False,Service Request,individual,none,not_applicable,False,none,low,medium,lowest
T00002,Incorrect incident title for service request in Portfolio Accounting,Portfolio Accounting,Switzerland,Investment Operations,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,4.7965277777777775,True,False,Service Request,individual,none,not_applicable,False,none,lowest,low,medium
T00003,New license requested for Trading Platform,Trading Platform,Germany,Investment Operations,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,12.740972222222222,True,False,Service Request,individual,none,not_applicable,False,none,lowest,lowest,low
T00004,Access requested for SimCorp Dimension,SimCorp Dimension,Germany,Enterprise Applications,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,7.44375,True,False,Service Request,individual,none,not_applicable,False,none,low,lowest,medium
T00005,Access removal requested for Tax Reporting,Tax Reporting,Switzerland,Tax & Reporting,Service Request,Service Request,lowest,lowest,lowest,0.004,1.0,0.0,0.0,,0.0,0.0,True,3.5118055555555556,False,False,Service Request,individual,none,not_applicable,False,none,medium,low,high
T00006,General request for Trading Platform with unclear details,Trading Platform,Switzerland,Investment Operations,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,4.1305555555555555,True,False,Service Request,individual,none,not_applicable,False,none,lowest,low,lowest
T00007,Access requested for Identity & Access Management,Identity & Access Management,Switzerland,Enterprise Applications,Service Request,Service Request,lowest,lowest,lowest,0.004,1.0,0.0,0.0,,0.0,0.0,True,1.6590277777777778,False,False,Service Request,individual,none,not_applicable,False,none,low,low,high
T00008,Access requested for CRM & Client Portal,CRM & Client Portal,Germany,Client Services,Service Request,Service Request,lowest,lowest,lowest,0.0289,1.0,0.0,0.4406,,0.1296,52.87083333333333,False,,False,False,Service Request,individual,none,not_applicable,False,none,lowest,low,lowest
T00009,Incorrect incident title for service request in Securities Settlement,Securities Settlement,Germany,Securities Operations,Service Request,Service Request,lowest,lowest,lowest,0.0738,0.9444,0.25,0.6354,,0.3634,76.24791666666667,False,,True,False,Service Request,one_entity,none,not_applicable,False,none,low,high,low
T00010,Access requested for Cash Management,Cash Management,Switzerland,Treasury & Cash,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,9.49375,True,False,Service Request,individual,none,not_applicable,False,none,highest,lowest,medium
T00011,Email notification received for Emailed Support Tickets,Emailed Support Tickets,Switzerland,Service Desk,Service Request,Incident,high,low,medium,0.4447,1.0,0.3,0.0,,0.2118,0.0,True,3.10625,False,True,Incident,external_counterparty,partial_degradation,none,False,none,low,medium,low
T00012,Access removal requested for Identity & Access Management,Identity & Access Management,Nordics,Enterprise Applications,Service Request,Service Request,lowest,lowest,lowest,0.004,1.0,0.0,0.0,,0.0,0.0,True,7.070138888888889,False,False,Service Request,individual,none,not_applicable,False,none,medium,lowest,lowest
T00013,Access requested for SimCorp Dimension,SimCorp Dimension,Germany,Enterprise Applications,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,11.002777777777778,True,False,Service Request,individual,none,not_applicable,False,none,high,lowest,lowest
T00014,New license requested for Identity & Access Management,Identity & Access Management,Germany,Enterprise Applications,Service Request,Service Request,lowest,lowest,lowest,0.004,1.0,0.0,0.0,,0.0,0.0,True,1.8701388888888888,False,False,Service Request,individual,none,not_applicable,False,none,lowest,low,lowest
T00015,New license requested for Portfolio Accounting,Portfolio Accounting,France,Investment Operations,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,9.596527777777778,True,False,Service Request,individual,none,not_applicable,False,none,low,lowest,low
T00016,Access removal requested for Trade Matching,Trade Matching,Switzerland,Investment Operations,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,6.309722222222222,True,False,Service Request,individual,none,not_applicable,False,none,lowest,lowest,lowest
T00017,Access requested for Risk & Compliance Monitoring,Risk & Compliance Monitoring,Nordics,Risk & Controls,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,6.6402777777777775,True,False,Service Request,individual,none,not_applicable,False,none,lowest,low,medium
T00018,Access removal requested for NAV Calculation,NAV Calculation,Switzerland,Valuation & Pricing,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,11.620833333333334,True,False,Service Request,individual,none,not_applicable,False,none,lowest,lowest,medium
T00019,Email notification received for Emailed Support Tickets,Emailed Support Tickets,Germany,Service Desk,Service Request,Incident,high,low,medium,0.5011,1.0,0.3,1.0,,0.5059,201.33125,False,,False,True,Incident,external_counterparty,partial_degradation,none,False,none,lowest,low,lowest
T00020,General request for CRM & Client Portal with unclear details,CRM & Client Portal,Luxembourg,Client Services,Service Request,Service Request,lowest,lowest,lowest,0.004,1.0,0.0,0.0,,0.0,0.0,True,18.497222222222224,False,False,Service Request,individual,none,not_applicable,False,none,medium,lowest,lowest
T00021,Email notification received for Emailed Support Tickets,Emailed Support Tickets,Luxembourg,Service Desk,Service Request,Incident,high,low,medium,0.4447,1.0,0.3,0.0,,0.2118,0.0,True,14.019444444444444,False,True,Incident,external_counterparty,partial_degradation,none,False,none,lowest,high,low
T00022,Email notification received for Emailed Support Tickets,Emailed Support Tickets,Luxembourg,Service Desk,Service Request,Incident,high,low,medium,0.4447,1.0,0.3,0.0,,0.2118,0.0,True,11.511805555555556,False,True,Incident,external_counterparty,partial_degradation,none,False,none,low,low,high
T00023,Access requested for Order Management,Order Management,Luxembourg,Trading Support,Service Request,Service Request,lowest,lowest,lowest,0.0379,1.0,0.25,0.0,,0.1765,0.0,True,7.320833333333334,True,False,Service Request,individual,none,not_applicable,False,none,high,lowest,lowest
