template,service,n_rows,impact,urgency,priority,priority_score,confidence,scope,outage,workaround,regulatory,deadline,work_type,critical,description
Automated alert triggered for <SVC>,Regulatory Reporting,387,high,highest,highest,0.9353,1.0,one_entity,partial_degradation,none,True,none,Incident,True,"Regulatory Reporting generated an automated monitoring alert indicating an operational problem. The log shows repeated execution errors, service degradation, or a processing delay. Please review the event, confirm the impact, and decide whether immediate remediation is needed."
Automated alert triggered for <SVC>,Order Management,369,high,medium,high,0.7215,1.0,one_entity,partial_degradation,none,False,none,Incident,True,"Order Management generated an automated monitoring alert indicating an operational problem. The log shows repeated execution errors, service degradation, or a processing delay. Please review the event, confirm the impact, and decide whether immediate remediation is needed."
Automated alert triggered for <SVC>,SimCorp Dimension,434,high,medium,high,0.7215,1.0,one_entity,partial_degradation,none,False,none,Incident,True,"SimCorp Dimension generated an automated monitoring alert indicating an operational problem. The log shows repeated execution errors, service degradation, or a processing delay. Please review the event, confirm the impact, and decide whether immediate remediation is needed."
Automated alert triggered for <SVC>,Client Reporting,371,high,medium,high,0.7215,1.0,one_entity,partial_degradation,none,False,none,Incident,True,"Client Reporting generated an automated monitoring alert indicating an operational problem. The log shows repeated execution errors, service degradation, or a processing delay. Please review the event, confirm the impact, and decide whether immediate remediation is needed."
Operational issue reported for <SVC>,Corporate Actions,91,high,medium,high,0.7101,1.0,one_entity,partial_degradation,none,False,none,Incident,True,"A user reported an operational disruption in Corporate Actions. The issue description includes business impact, expected behaviour, and clear evidence that the service is no longer operating as intended. Please review the issue, validate the impact, and coordinate the required remediation or workaround."
Operational issue reported for <SVC>,Fund Pricing,90,high,medium,high,0.7091,1.0,one_entity,partial_degradation,none,False,none,Incident,True,"A user reported an operational disruption in Fund Pricing. The issue description includes business impact, expected behaviour, and clear evidence that the service is no longer operating as intended. Please review the issue, validate the impact, and coordinate the required remediation or workaround."
Operational issue reported for <SVC>,Order Management,66,high,medium,high,0.7047,1.0,one_entity,partial_degradation,none,False,none,Incident,True,"A user reported an operational disruption in Order Management. The issue description includes business impact, expected behaviour, and clear evidence that the service is no longer operating as intended. Please review the issue, validate the impact, and coordinate the required remediation or workaround."
Automated alert triggered for <SVC>,Trade Matching,407,high,medium,high,0.7019,1.0,one_entity,partial_degradation,none,False,none,Incident,True,"Trade Matching generated an automated monitoring alert indicating an operational problem. The log shows repeated execution errors, service degradation, or a processing delay. Please review the event, confirm the impact, and decide whether immediate remediation is needed."
Incident mislabelled as service request in <SVC>,Regulatory Reporting,63,high,medium,high,0.6944,0.9444,one_entity,partial_degradation,not_applicable,False,none,Incident,True,"This issue was raised against Regulatory Reporting, but the title suggests a service request instead of a true incident. The underlying problem still needs triage and should be reviewed to ensure it is routed through the correct workflow."
Incident mislabelled as service request in <SVC>,Trade Matching,84,high,medium,high,0.6944,1.0,one_entity,partial_degradation,not_applicable,False,none,Incident,True,"This issue was raised against Trade Matching, but the title suggests a service request instead of a true incident. The underlying problem still needs triage and should be reviewed to ensure it is routed through the correct workflow."
Unclear incident input for <SVC>,Portfolio Accounting,80,high,medium,high,0.6944,1.0,one_entity,partial_degradation,not_applicable,False,none,Incident,True,"The incident note for Portfolio Accounting is not aligned with the expected service context and contains malformed or unrelated information. The content appears to be accidental or misrouted, and it needs a quick validation to decide whether it should be closed or reassigned."
Operational issue reported for <SVC>,Trade Matching,72,high,medium,high,0.665,1.0,one_entity,partial_degradation,none,False,none,Incident,True,"A user reported an operational disruption in Trade Matching. The issue description includes business impact, expected behaviour, and clear evidence that the service is no longer operating as intended. Please review the issue, validate the impact, and coordinate the required remediation or workaround."
Automated alert triggered for <SVC>,Trading Platform,420,high,medium,high,0.665,1.0,one_entity,partial_degradation,none,False,none,Incident,True,"Trading Platform generated an automated monitoring alert indicating an operational problem. The log shows repeated execution errors, service degradation, or a processing delay. Please review the event, confirm the impact, and decide whether immediate remediation is needed."
Automated alert triggered for <SVC>,Cash Management,345,high,medium,high,0.665,1.0,one_entity,partial_degradation,none,False,none,Incident,True,"Cash Management generated an automated monitoring alert indicating an operational problem. The log shows repeated execution errors, service degradation, or a processing delay. Please review the event, confirm the impact, and decide whether immediate remediation is needed."
Operational issue reported for <SVC>,SimCorp Dimension,72,high,medium,high,0.665,1.0,one_entity,partial_degradation,none,False,none,Incident,True,"A user reported an operational disruption in SimCorp Dimension. The issue description includes business impact, expected behaviour, and clear evidence that the service is no longer operating as intended. Please review the issue, validate the impact, and coordinate the required remediation or workaround."
Operational issue reported for <SVC>,Regulatory Reporting,91,high,medium,high,0.665,1.0,one_entity,partial_degradation,none,False,none,Incident,True,"A user reported an operational disruption in Regulatory Reporting. The issue description includes business impact, expected behaviour, and clear evidence that the service is no longer operating as intended. Please review the issue, validate the impact, and coordinate the required remediation or workaround."
Operational issue reported for <SVC>,Rimes Data Feed,74,high,medium,high,0.665,1.0,one_entity,partial_degradation,none,False,none,Incident,True,"A user reported an operational disruption in Rimes Data Feed. The issue description includes business impact, expected behaviour, and clear evidence that the service is no longer operating as intended. Please review the issue, validate the impact, and coordinate the required remediation or workaround."
Operational issue reported for <SVC>,Securities Settlement,85,high,medium,high,0.665,1.0,one_entity,partial_degradation,none,False,none,Incident,True,"A user reported an operational disruption in Securities Settlement. The issue description includes business impact, expected behaviour, and clear evidence that the service is no longer operating as intended. Please review the issue, validate the impact, and coordinate the required remediation or workaround."
Operational issue reported for <SVC>,Client Reporting,87,high,medium,high,0.665,1.0,one_entity,partial_degradation,none,False,none,Incident,True,"A user reported an operational disruption in Client Reporting. The issue description includes business impact, expected behaviour, and clear evidence that the service is no longer operating as intended. Please review the issue, validate the impact, and coordinate the required remediation or workaround."
Operational issue reported for <SVC>,NAV Calculation,98,high,medium,high,0.665,1.0,one_entity,partial_degradation,none,False,none,Incident,True,"A user reported an operational disruption in NAV Calculation. The issue description includes business impact, expected behaviour, and clear evidence that the service is no longer operating as intended. Please review the issue, validate the impact, and coordinate the required remediation or workaround."
Operational issue reported for <SVC>,Portfolio Accounting,69,high,medium,high,0.665,1.0,one_entity,partial_degradation,none,False,none,Incident,True,"A user reported an operational disruption in Portfolio Accounting. The issue description includes business impact, expected behaviour, and clear evidence that the service is no longer operating as intended. Please review the issue, validate the impact, and coordinate the required remediation or workaround."
Operational issue reported for <SVC>,Risk & Compliance Monitoring,88,high,medium,high,0.665,1.0,one_entity,partial_degradation,none,False,none,Incident,True,"A user reported an operational disruption in Risk & Compliance Monitoring. The issue description includes business impact, expected behaviour, and clear evidence that the service is no longer operating as intended. Please review the issue, validate the impact, and coordinate the required remediation or workaround."
Automated alert triggered for <SVC>,Fund Pricing,408,high,medium,high,0.665,1.0,one_entity,partial_degradation,none,False,none,Incident,True,"Fund Pricing generated an automated monitoring alert indicating an operational problem. The log shows repeated execution errors, service degradation, or a processing delay. Please review the event, confirm the impact, and decide whether immediate remediation is needed."
Automated alert triggered for <SVC>,Securities Settlement,356,high,medium,high,0.665,1.0,one_entity,partial_degradation,none,False,none,Incident,True,"Securities Settlement generated an automated monitoring alert indicating an operational problem. The log shows repeated execution errors, service degradation, or a processing delay. Please review the event, confirm the impact, and decide whether immediate remediation is needed."
Operational issue reported for <SVC>,Cash Management,75,high,medium,high,0.665,1.0,one_entity,partial_degradation,none,False,none,Incident,True,"A user reported an operational disruption in Cash Management. The issue description includes business impact, expected behaviour, and clear evidence that the service is no longer operating as intended. Please review the issue, validate the impact, and coordinate the required remediation or workaround."
Incident mislabelled as service request in <SVC>,Risk & Compliance Monitoring,71,high,medium,high,0.665,0.9444,one_entity,partial_degradation,none,False,none,Incident,True,"This issue was raised against Risk & Compliance Monitoring, but the title suggests a service request instead of a true incident. The underlying problem still needs triage and should be reviewed to ensure it is routed through the correct workflow."
Automated alert triggered for <SVC>,Risk & Compliance Monitoring,382,high,medium,high,0.665,1.0,one_entity,partial_degradation,none,False,none,Incident,True,"Risk & Compliance Monitoring generated an automated monitoring alert indicating an operational problem. The log shows repeated execution errors, service degradation, or a processing delay. Please review the event, confirm the impact, and decide whether immediate remediation is needed."
Automated alert triggered for <SVC>,Portfolio Accounting,409,high,medium,high,0.665,1.0,one_entity,partial_degradation,none,False,none,Incident,True,"Portfolio Accounting generated an automated monitoring alert indicating an operational problem. The log shows repeated execution errors, service degradation, or a processing delay. Please review the event, confirm the impact, and decide whether immediate remediation is needed."
Automated alert triggered for <SVC>,NAV Calculation,362,high,medium,high,0.665,1.0,one_entity,partial_degradation,none,False,none,Incident,True,"NAV Calculation generated an automated monitoring alert indicating an operational problem. The log shows repeated execution errors, service degradation, or a processing delay. Please review the event, confirm the impact, and decide whether immediate remediation is needed."
Operational issue reported for <SVC>,Trading Platform,76,high,medium,high,0.665,1.0,one_entity,partial_degradation,none,False,none,Incident,True,"A user reported an operational disruption in Trading Platform. The issue description includes business impact, expected behaviour, and clear evidence that the service is no longer operating as intended. Please review the issue, validate the impact, and coordinate the required remediation or workaround."
Automated alert triggered for <SVC>,Corporate Actions,387,high,medium,high,0.665,1.0,one_entity,partial_degradation,none,False,none,Incident,True,"Corporate Actions generated an automated monitoring alert indicating an operational problem. The log shows repeated execution errors, service degradation, or a processing delay. Please review the event, confirm the impact, and decide whether immediate remediation is needed."
Automated alert triggered for <SVC>,Rimes Data Feed,401,high,medium,high,0.665,1.0,one_entity,partial_degradation,none,False,none,Incident,True,"Rimes Data Feed generated an automated monitoring alert indicating an operational problem. The log shows repeated execution errors, service degradation, or a processing delay. Please review the event, confirm the impact, and decide whether immediate remediation is needed."
