template,service,entity,Work type,team,rep_ticket_id,tie_group_size,n_with_resolution,service_is_critical,rep_ticket_id_alt,signature_id
New license requested for <SVC>,Trading Platform,Germany,Service Request,Investment Operations,T00003,8,2,True,T03428,0
Access requested for <SVC>,SimCorp Dimension,Germany,Service Request,Enterprise Applications,T00004,6,2,True,T00013,1
Access requested for <SVC>,Risk & Compliance Monitoring,Nordics,Service Request,Risk & Controls,T00017,7,2,True,T00076,2
General request for <SVC> with unclear details,CRM & Client Portal,Luxembourg,Service Request,Client Services,T00020,5,2,False,T01145,3
New license requested for <SVC>,Risk & Compliance Monitoring,Switzerland,Service Request,Risk & Controls,T00025,5,2,True,T00531,4
Email notification received for <SVC>,Emailed Support Tickets,Luxembourg,Service Request,Service Desk,T00026,250,67,False,T00166,5
Incorrect incident title for service request in <SVC>,Outlook & Email,Nordics,Service Request,Enterprise Applications,T00029,3,1,False,T01824,6
Access requested for <SVC>,SimCorp Dimension,Switzerland,Service Request,Enterprise Applications,T00031,8,3,True,T01170,7
New license requested for <SVC>,Outlook & Email,Nordics,Service Request,Enterprise Applications,T00033,7,1,False,T00211,8
Access requested for <SVC>,SharePoint & File Storage,Switzerland,Service Request,Enterprise Applications,T00035,7,2,False,T03779,9
General request for <SVC> with unclear details,NAV Calculation,Switzerland,Service Request,Valuation & Pricing,T00036,6,2,True,T01976,10
Access requested for <SVC>,Trade Matching,Nordics,Service Request,Investment Operations,T00039,11,4,True,T00790,11
Email notification received for <SVC>,Emailed Support Tickets,France,Service Request,Service Desk,T00049,238,62,False,T00084,12
Incorrect incident title for service request in <SVC>,NAV Calculation,Nordics,Service Request,Valuation & Pricing,T00060,5,2,True,T03012,13
New license requested for <SVC>,Fund Pricing,Switzerland,Service Request,Valuation & Pricing,T00061,5,3,True,T00325,14
New license requested for <SVC>,Trading Platform,Luxembourg,Service Request,Investment Operations,T00065,13,6,True,T00326,15
Email notification received for <SVC>,Emailed Support Tickets,Germany,Service Request,Service Desk,T00067,227,49,False,T00074,16
Access requested for <SVC>,Trading Platform,Nordics,Service Request,Investment Operations,T00068,12,8,True,T00805,17
New license requested for <SVC>,Fund Pricing,Nordics,Service Request,Valuation & Pricing,T00071,7,2,True,T01695,18
General request for <SVC> with unclear details,NAV Calculation,Luxembourg,Service Request,Valuation & Pricing,T00073,6,2,True,T03142,19
New license requested for <SVC>,Cash Management,Nordics,Service Request,Treasury & Cash,T00077,8,3,True,T00407,20
Access removal requested for <SVC>,Rimes Data Feed,Germany,Service Request,Market Data Services,T00079,2,2,True,T00967,21
New license requested for <SVC>,NAV Calculation,Switzerland,Service Request,Valuation & Pricing,T00083,8,1,True,T00319,22
New license requested for <SVC>,Regulatory Reporting,Germany,Service Request,Risk & Controls,T00090,7,3,True,T00210,23
New license requested for <SVC>,Trading Platform,France,Service Request,Investment Operations,T00094,9,2,True,T01775,24
Incorrect incident title for service request in <SVC>,Regulatory Reporting,Luxembourg,Service Request,Risk & Controls,T00096,8,2,True,T03753,25
Email notification received for <SVC>,Emailed Support Tickets,Nordics,Service Request,Service Desk,T00099,269,57,False,T00259,26
Incorrect incident title for service request in <SVC>,Order Management,Switzerland,Service Request,Trading Support,T00105,6,1,True,T00235,27
Access requested for <SVC>,Identity & Access Management,Germany,Service Request,Enterprise Applications,T00116,6,1,False,T01259,28
New license requested for <SVC>,Tax Reporting,Nordics,Service Request,Tax & Reporting,T00120,9,2,False,T00606,29
Access removal requested for <SVC>,Outlook & Email,Nordics,Service Request,Enterprise Applications,T00132,4,2,False,T01090,30
General request for <SVC> with unclear details,SimCorp Dimension,Switzerland,Service Request,Enterprise Applications,T00142,5,3,True,T00844,31
Access requested for <SVC>,CRM & Client Portal,France,Service Request,Client Services,T00151,9,1,False,T01335,32
New license requested for <SVC>,CRM & Client Portal,Germany,Service Request,Client Services,T00156,11,4,False,T01878,33
Incorrect incident title for service request in <SVC>,Outlook & Email,Switzerland,Service Request,Enterprise Applications,T00171,9,3,False,T02820,34
Access requested for <SVC>,CRM & Client Portal,Nordics,Service Request,Client Services,T00184,10,3,False,T02627,35
General request for <SVC> with unclear details,Trade Matching,Nordics,Service Request,Investment Operations,T00192,5,4,True,T00621,36
General request for <SVC> with unclear details,Securities Settlement,Nordics,Service Request,Securities Operations,T00195,6,1,True,T01003,37
Access removal requested for <SVC>,Trade Matching,Luxembourg,Service Request,Investment Operations,T00196,6,1,True,T00410,38
Access requested for <SVC>,Securities Settlement,France,Service Request,Securities Operations,T00197,14,3,True,T00836,39
Access requested for <SVC>,Securities Settlement,Germany,Service Request,Securities Operations,T00199,12,3,True,T01159,40
Access requested for <SVC>,Regulatory Reporting,France,Service Request,Risk & Controls,T00202,8,4,True,T00309,41
New license requested for <SVC>,Securities Settlement,France,Service Request,Securities Operations,T00205,13,3,True,T00745,42
New license requested for <SVC>,Cash Management,Luxembourg,Service Request,Treasury & Cash,T00206,10,3,True,T01349,43
Access requested for <SVC>,CRM & Client Portal,Luxembourg,Service Request,Client Services,T00223,8,2,False,T01711,44
New license requested for <SVC>,Cash Management,Germany,Service Request,Treasury & Cash,T00224,6,2,True,T01496,45
New license requested for <SVC>,SimCorp Dimension,Germany,Service Request,Enterprise Applications,T00228,9,3,True,T02176,46
New license requested for <SVC>,Fund Pricing,Luxembourg,Service Request,Valuation & Pricing,T00237,9,3,True,T00931,47
Access requested for <SVC>,Outlook & Email,Nordics,Service Request,Enterprise Applications,T00258,12,4,False,T01275,48
Email notification received for <SVC>,Emailed Support Tickets,Switzerland,Service Request,Service Desk,T00261,227,56,False,T00271,49
New license requested for <SVC>,Tax Reporting,Switzerland,Service Request,Tax & Reporting,T00264,14,4,False,T00512,50
New license requested for <SVC>,Risk & Compliance Monitoring,Nordics,Service Request,Risk & Controls,T00268,8,2,True,T02644,51
New license requested for <SVC>,Securities Settlement,Switzerland,Service Request,Securities Operations,T00275,4,2,True,T01178,52
Incorrect incident title for service request in <SVC>,Identity & Access Management,Luxembourg,Service Request,Enterprise Applications,T00279,4,1,False,T01870,53
Access requested for <SVC>,NAV Calculation,France,Service Request,Valuation & Pricing,T00284,10,1,True,T00135,54
New license requested for <SVC>,CRM & Client Portal,Switzerland,Service Request,Client Services,T00285,11,3,False,T01306,55
Access requested for <SVC>,CRM & Client Portal,Germany,Service Request,Client Services,T00307,11,4,False,T01428,56
Access requested for <SVC>,Rimes Data Feed,Germany,Service Request,Market Data Services,T00320,6,1,True,T00997,57
New license requested for <SVC>,Identity & Access Management,France,Service Request,Enterprise Applications,T00322,2,1,False,T00234,58
New license requested for <SVC>,Regulatory Reporting,Luxembourg,Service Request,Risk & Controls,T00348,9,2,True,T02672,59
Incorrect incident title for service request in <SVC>,SharePoint & File Storage,Nordics,Service Request,Enterprise Applications,T00355,3,1,False,T00579,60
Access requested for <SVC>,Portfolio Accounting,Switzerland,Service Request,Investment Operations,T00359,8,2,True,T01676,61
Access requested for <SVC>,Trading Platform,Switzerland,Service Request,Investment Operations,T00361,9,5,True,T00732,62
New license requested for <SVC>,Regulatory Reporting,Nordics,Service Request,Risk & Controls,T00374,9,5,True,T01206,63
General request for <SVC> with unclear details,Outlook & Email,Switzerland,Service Request,Enterprise Applications,T00394,5,2,False,T01984,64
Access requested for <SVC>,Tax Reporting,France,Service Request,Tax & Reporting,T00398,8,2,False,T02171,65
General request for <SVC> with unclear details,Risk & Compliance Monitoring,Luxembourg,Service Request,Risk & Controls,T00404,5,1,True,T00136,66
New license requested for <SVC>,Trading Platform,Nordics,Service Request,Investment Operations,T00405,12,2,True,T03236,67
Access removal requested for <SVC>,Risk & Compliance Monitoring,Luxembourg,Service Request,Risk & Controls,T00413,6,2,True,T02519,68
New license requested for <SVC>,Corporate Actions,Germany,Service Request,Securities Operations,T00415,12,1,True,T00479,69
New license requested for <SVC>,SimCorp Dimension,Nordics,Service Request,Enterprise Applications,T00418,8,4,True,T01324,70
New license requested for <SVC>,Outlook & Email,Germany,Service Request,Enterprise Applications,T00426,9,5,False,T00934,71
Access requested for <SVC>,Identity & Access Management,Nordics,Service Request,Enterprise Applications,T00430,11,3,False,T00622,72
Access requested for <SVC>,SimCorp Dimension,Luxembourg,Service Request,Enterprise Applications,T00433,11,4,True,T00640,73
New license requested for <SVC>,Portfolio Accounting,Switzerland,Service Request,Investment Operations,T00434,12,3,True,T00903,74
Access requested for <SVC>,Outlook & Email,France,Service Request,Enterprise Applications,T00439,5,3,False,T01914,75
Incorrect incident title for service request in <SVC>,Trade Matching,Switzerland,Service Request,Investment Operations,T00442,7,1,True,T00287,76
Access requested for <SVC>,Regulatory Reporting,Germany,Service Request,Risk & Controls,T00451,7,2,True,T01406,77
General request for <SVC> with unclear details,Regulatory Reporting,France,Service Request,Risk & Controls,T00458,3,3,True,T00660,78
General request for <SVC> with unclear details,Regulatory Reporting,Nordics,Service Request,Risk & Controls,T00460,3,2,True,T01672,79
Incorrect incident title for service request in <SVC>,Client Reporting,Switzerland,Service Request,Client Services,T00470,4,1,True,T00602,80
New license requested for <SVC>,Risk & Compliance Monitoring,Luxembourg,Service Request,Risk & Controls,T00473,10,4,True,T00655,81
General request for <SVC> with unclear details,Trading Platform,Switzerland,Service Request,Investment Operations,T00484,6,1,True,T00006,82
Access requested for <SVC>,Trade Matching,Switzerland,Service Request,Investment Operations,T00489,12,8,True,T00798,83
General request for <SVC> with unclear details,Order Management,Germany,Service Request,Trading Support,T00506,8,2,True,T03950,84
General request for <SVC> with unclear details,Identity & Access Management,France,Service Request,Enterprise Applications,T00507,7,2,False,T03383,85
Access removal requested for <SVC>,Regulatory Reporting,Luxembourg,Service Request,Risk & Controls,T00508,3,1,True,T01368,86
Access removal requested for <SVC>,Risk & Compliance Monitoring,Switzerland,Service Request,Risk & Controls,T00513,6,3,True,T01007,87
New license requested for <SVC>,CRM & Client Portal,Luxembourg,Service Request,Client Services,T00520,12,3,False,T02602,88
Incorrect incident title for service request in <SVC>,Fund Pricing,Luxembourg,Service Request,Valuation & Pricing,T00526,9,4,True,T00944,89
Access removal requested for <SVC>,Securities Settlement,Nordics,Service Request,Securities Operations,T00529,5,1,True,T00522,90
Access removal requested for <SVC>,Cash Management,Switzerland,Service Request,Treasury & Cash,T00536,7,2,True,T01294,91
New license requested for <SVC>,SharePoint & File Storage,Germany,Service Request,Enterprise Applications,T00546,7,2,False,T01231,92
Access requested for <SVC>,Fund Pricing,Switzerland,Service Request,Valuation & Pricing,T00556,9,3,True,T01427,93
New license requested for <SVC>,NAV Calculation,Nordics,Service Request,Valuation & Pricing,T00557,8,3,True,T02678,94
Access requested for <SVC>,Regulatory Reporting,Nordics,Service Request,Risk & Controls,T00566,14,7,True,T00850,95
General request for <SVC> with unclear details,SharePoint & File Storage,Luxembourg,Service Request,Enterprise Applications,T00572,9,1,False,T00109,96
Access requested for <SVC>,Trading Platform,Luxembourg,Service Request,Investment Operations,T00577,9,3,True,T02318,97
General request for <SVC> with unclear details,Client Reporting,France,Service Request,Client Services,T00584,2,1,True,T00162,98
Access requested for <SVC>,Trade Matching,France,Service Request,Investment Operations,T00613,10,2,True,T00963,99
Access removal requested for <SVC>,Regulatory Reporting,Germany,Service Request,Risk & Controls,T00637,5,2,True,T00643,100
New license requested for <SVC>,Trade Matching,Switzerland,Service Request,Investment Operations,T00647,9,2,True,T01174,101
Incorrect incident title for service request in <SVC>,Tax Reporting,Germany,Service Request,Tax & Reporting,T00648,10,3,False,T01144,102
New license requested for <SVC>,Cash Management,Switzerland,Service Request,Treasury & Cash,T00650,7,1,True,T00161,103
Access requested for <SVC>,Rimes Data Feed,Nordics,Service Request,Market Data Services,T00665,3,1,True,T02386,104
Access removal requested for <SVC>,Rimes Data Feed,France,Service Request,Market Data Services,T00674,4,1,True,T00057,105
New license requested for <SVC>,Order Management,France,Service Request,Trading Support,T00685,9,3,True,T02153,106
Access removal requested for <SVC>,Order Management,Germany,Service Request,Trading Support,T00695,5,2,True,T03586,107
Access removal requested for <SVC>,Corporate Actions,Luxembourg,Service Request,Securities Operations,T00705,5,2,True,T00872,108
Access requested for <SVC>,Cash Management,Germany,Service Request,Treasury & Cash,T00706,9,2,True,T00721,109
New license requested for <SVC>,Identity & Access Management,Germany,Service Request,Enterprise Applications,T00709,10,3,False,T03069,110
Access removal requested for <SVC>,Cash Management,Luxembourg,Service Request,Treasury & Cash,T00710,3,2,True,T00833,111
Access requested for <SVC>,Risk & Compliance Monitoring,France,Service Request,Risk & Controls,T00714,9,1,True,T00542,112
Access removal requested for <SVC>,Identity & Access Management,Luxembourg,Service Request,Enterprise Applications,T00720,8,2,False,T01723,113
General request for <SVC> with unclear details,Order Management,Switzerland,Service Request,Trading Support,T00735,9,2,True,T01066,114
Access removal requested for <SVC>,Tax Reporting,Switzerland,Service Request,Tax & Reporting,T00740,6,1,False,T00005,115
Incorrect incident title for service request in <SVC>,Portfolio Accounting,Switzerland,Service Request,Investment Operations,T00746,6,1,True,T00002,116
Access removal requested for <SVC>,Trade Matching,Switzerland,Service Request,Investment Operations,T00757,4,1,True,T00016,117
General request for <SVC> with unclear details,Tax Reporting,Nordics,Service Request,Tax & Reporting,T00763,8,3,False,T01634,118
