ticket_id,signature_id,rank,neighbour_ticket_id,similarity,neighbour_tie_group_size,neighbour_n_with_resolution
T00000,29,1,T00120,1.0,9,2
T00000,29,2,T00264,0.95,14,4
T00000,29,3,T02069,0.95,3,0
T00000,29,4,T02671,0.95,8,3
T00000,29,5,T00842,0.95,6,4
T00000,29,6,T00033,0.6106,7,1
T00000,29,7,T00801,0.6069,7,0
T00000,29,8,T03906,0.5984,5,1
T00000,29,9,T01358,0.5965,11,3
T00000,29,10,T00763,0.5955,8,3
T00001,208,1,T01607,1.0,10,3
T00001,208,2,T00033,0.95,7,1
T00001,208,3,T02670,0.95,11,1
T00001,208,4,T00426,0.95,9,5
T00001,208,5,T02809,0.95,11,6
T00001,208,6,T01021,0.7007,7,4
T00001,208,7,T00165,0.6905,5,0
T00001,208,8,T00801,0.6507,7,0
T00001,208,9,T00322,0.6507,2,1
T00001,208,10,T03725,0.6507,7,1
T00002,116,1,T00746,1.0,6,1
T00002,116,2,T01658,0.95,1,0
T00002,116,3,T00128,0.95,4,0
T00002,116,4,T01351,0.95,4,1
T00002,116,5,T00231,0.95,2,0
T00002,116,6,T00442,0.7148,7,1
T00002,116,7,T00813,0.7139,7,1
T00002,116,8,T02805,0.6648,1,1
T00002,116,9,T00047,0.6648,5,0
T00002,116,10,T02893,0.6648,1,0
T00003,0,1,T03428,1.0,8,2
T00003,0,2,T00405,0.95,12,2
T00003,0,3,T00094,0.95,9,2
T00003,0,4,T02793,0.95,7,2
T00003,0,5,T00065,0.95,13,6
T00003,0,6,T01295,0.7026,12,5
T00003,0,7,T03977,0.7026,5,1
T00003,0,8,T01146,0.6526,8,3
T00003,0,9,T01245,0.6526,9,2
T00003,0,10,T01105,0.6526,7,2
T00004,1,1,T00013,1.0,6,2
T00004,1,2,T00433,0.95,11,4
T00004,1,3,T00370,0.95,6,0
T00004,1,4,T01920,0.95,8,2
T00004,1,5,T00031,0.95,8,3
T00004,1,6,T00875,0.6579,7,2
T00004,1,7,T00116,0.6573,6,1
T00004,1,8,T01460,0.6454,4,0
T00004,1,9,T00953,0.6407,8,1
T00004,1,10,T01602,0.6385,2,1
T00005,115,1,T00740,1.0,6,1
T00005,115,2,T00939,0.95,6,3
T00005,115,3,T02033,0.95,5,1
T00005,115,4,T01375,0.95,5,2
T00005,115,5,T02328,0.95,2,0
T00005,115,6,T01692,0.6307,3,0
T00005,115,7,T02362,0.6299,3,1
T00005,115,8,T01526,0.6192,2,0
T00005,115,9,T01576,0.6173,2,0
T00005,115,10,T00733,0.6027,1,0
T00006,82,1,T00484,1.0,6,1
T00006,82,2,T01610,0.95,4,0
T00006,82,3,T01531,0.95,2,0
T00006,82,4,T01001,0.95,5,1
T00006,82,5,T03117,0.95,5,1
T00006,82,6,T00080,0.7138,2,0
T00006,82,7,T02876,0.7138,5,1
T00006,82,8,T00182,0.6638,2,0
T00006,82,9,T02471,0.6638,7,1
T00006,82,10,T01042,0.6638,6,0
T00007,223,1,T01749,1.0,14,2
T00007,223,2,T00430,0.95,11,3
T00007,223,3,T00351,0.95,4,0
T00007,223,4,T01925,0.95,8,1
T00007,223,5,T00116,0.95,6,1
T00007,223,6,T00839,0.7329,6,0
T00007,223,7,T00035,0.7204,7,2
T00007,223,8,T00258,0.6829,12,4
T00007,223,9,T00875,0.6829,7,2
T00007,223,10,T01303,0.6829,14,3
T00008,56,1,T00307,1.0,11,4
T00008,56,2,T02760,0.95,9,2
T00008,56,3,T00223,0.95,8,2
T00008,56,4,T00184,0.95,10,3
T00008,56,5,T00151,0.95,9,1
T00008,56,6,T00953,0.667,8,1
T00008,56,7,T01911,0.6281,5,3
T00008,56,8,T00256,0.626,9,0
T00008,56,9,T00156,0.6233,11,4
T00008,56,10,T00875,0.6228,7,2
T00009,738,1,T02335,1.0,4,0
T00009,738,2,T02851,0.95,3,1
T00009,738,3,T03731,0.95,6,1
T00009,738,4,T03671,0.95,6,1
T00009,738,5,T01565,0.95,6,2
T00009,738,6,T01843,0.7148,2,1
T00009,738,7,T00177,0.6648,5,0
T00009,738,8,T00817,0.6648,2,0
T00009,738,9,T02646,0.6648,4,1
T00009,738,10,T00226,0.6648,2,0
T00010,219,1,T01690,1.0,7,1
T00010,219,2,T00926,0.95,6,0
T00010,219,3,T01031,0.95,9,2
T00010,219,4,T00706,0.95,9,2
T00010,219,5,T02415,0.95,10,3
T00010,219,6,T01232,0.6696,4,0
T00010,219,7,T01566,0.647,4,2
T00010,219,8,T02007,0.6447,9,3
T00010,219,9,T00131,0.6385,5,0
T00010,219,10,T01040,0.6385,8,3
T00011,49,1,T00261,1.0,227,56
T00011,49,2,T00067,0.95,227,49
T00011,49,3,T00049,0.95,238,62
T00011,49,4,T00099,0.95,269,57
T00011,49,5,T00026,0.95,250,67
T00011,49,6,T04052,0.5364,892,211
T00011,49,7,T04072,0.4864,822,196
T00011,49,8,T04035,0.4864,805,206
T00011,49,9,T04093,0.4864,873,209
T00011,49,10,T04144,0.4864,820,183
T00012,213,1,T01664,1.0,8,2
T00012,213,2,T00852,0.95,5,0
T00012,213,3,T00492,0.95,2,0
T00012,213,4,T00720,0.95,8,2
T00012,213,5,T02362,0.95,3,1
T00012,213,6,T00132,0.7242,4,2
T00012,213,7,T03645,0.7111,6,1
T00012,213,8,T02499,0.6742,3,2
T00012,213,9,T00333,0.6742,9,0
T00012,213,10,T01692,0.6742,3,0
T00013,1,1,T00004,1.0,6,2
T00013,1,2,T00433,0.95,11,4
T00013,1,3,T00370,0.95,6,0
T00013,1,4,T01920,0.95,8,2
T00013,1,5,T00031,0.95,8,3
T00013,1,6,T00875,0.6579,7,2
T00013,1,7,T00116,0.6573,6,1
T00013,1,8,T01460,0.6454,4,0
T00013,1,9,T00953,0.6407,8,1
T00013,1,10,T01602,0.6385,2,1
T00014,110,1,T00709,1.0,10,3
T00014,110,2,T01021,0.95,7,4
T00014,110,3,T03725,0.95,7,1
T00014,110,4,T00801,0.95,7,0
T00014,110,5,T00322,0.95,2,1
T00014,110,6,T00426,0.7007,9,5
T00014,110,7,T00546,0.6871,7,2
T00014,110,8,T02809,0.6507,11,6
T00014,110,9,T01607,0.6507,10,3
T00014,110,10,T02670,0.6507,11,1
T00015,165,1,T01245,1.0,9,2
T00015,165,2,T00434,0.95,12,3
T00015,165,3,T01105,0.95,7,2
T00015,165,4,T03977,0.95,5,1
T00015,165,5,T01572,0.95,8,1
T00015,165,6,T01146,0.7029,8,3
T00015,165,7,T00094,0.7026,9,2
T00015,165,8,T03616,0.6529,8,1
T00015,165,9,T01395,0.6529,13,2
T00015,165,10,T00647,0.6529,9,2
T00016,117,1,T00757,1.0,4,1
T00016,117,2,T00196,0.95,6,1
T00016,117,3,T02347,0.95,3,1
T00016,117,4,T00088,0.95,7,0
T00016,117,5,T02742,0.95,3,0
T00016,117,6,T00064,0.7236,8,0
T00016,117,7,T02103,0.7233,1,0
T00016,117,8,T00811,0.6736,3,0
T00016,117,9,T02510,0.6736,5,1
T00016,117,10,T01229,0.6736,6,2
T00017,2,1,T00076,1.0,7,2
T00017,2,2,T00471,0.95,10,0
T00017,2,3,T00714,0.95,9,1
T00017,2,4,T01924,0.95,13,4
T00017,2,5,T01293,0.95,12,4
T00017,2,6,T00566,0.729,14,7
T00017,2,7,T02007,0.679,9,3
T00017,2,8,T00202,0.679,8,4
T00017,2,9,T00451,0.679,7,2
T00017,2,10,T01778,0.679,8,2
T00018,300,1,T02837,1.0,5,1
T00018,300,2,T01986,0.95,2,0
T00018,300,3,T01857,0.95,4,1
T00018,300,4,T01882,0.95,1,1
T00018,300,5,T01283,0.95,4,1
T00018,300,6,T00153,0.7236,5,0
T00018,300,7,T02624,0.6736,5,1
